Mean PM2.5 South,Mean Happiness South,,Mean PM2.5 North,Mean Happiness North
9.366727455,7.671818182,,7.641784727,7.357272727
7.797463273,7.55,,8.092498364,7.336363636
8.469577818,7.456363636,,7.403864909,7.445454545
9.635298636,7.192727273,,7.732933727,7.41
8.310180909,7.470909091,,7.355820727,7.428181818
9.076350273,7.451818182,,8.910221636,7.328181818
8.257669727,7.432727273,,8.770176818,7.463636364
7.528616727,7.416363636,,7.675403,7.417272727
9.571907727,7.411818182,,7.605915455,7.274545455
9.877024091,7.398181818,,9.885013364,7.283636364
10.94125164,7.472727273,,8.614756909,7.577272727
10.28685318,7.450909091,,9.302774545,7.411818182
10.98133818,7.395454545,,9.313223455,7.499090909
10.44068764,7.365454545,,8.268494455,7.409090909
9.855764727,7.43,,10.22912618,7.387272727
9.387444727,7.545454545,,10.766048,7.39
10.71275927,7.457272727,,9.366727455,7.671818182
11.57121636,7.333636364,,10.57421073,7.227272727
10.26402827,7.536363636,,7.797463273,7.55
10.06498391,7.570909091,,8.234070364,7.385454545
10.01106982,7.410909091,,9.032343455,7.327272727
9.604065636,7.262727273,,9.877024091,7.398181818
10.69782609,7.474545455,,10.01106982,7.410909091
10.68440018,7.362727273,,6.333021727,7.346363636
8.320088818,7.546363636,,7.930051727,7.523636364
6.912837273,7.548181818,,7.893110727,7.483636364
8.652107364,7.539090909,,7.467052091,7.558181818
9.844396545,7.456363636,,9.844396545,7.456363636
10.09337645,7.566363636,,5.779557545,7.429090909
8.890166,7.434545455,,9.722885727,7.530909091
8.078562818,7.622727273,,9.848032636,7.230909091
9.722885727,7.530909091,,9.843523091,7.476363636
10.34258636,7.422727273,,5.271103545,7.646363636
9.881900636,7.56,,6.459765091,7.272727273
9.848032636,7.230909091,,5.638910636,7.380909091
9.843523091,7.476363636,,5.398457273,7.613636364
9.961213909,7.500909091,,5.48181,7.6
7.508882273,7.730909091,,5.746450273,7.596363636
8.193224909,7.459090909,,9.121371636,7.575454545
7.281194909,7.556363636,,9.802344364,7.355454545
6.795780909,7.688181818,,9.126088091,7.526363636
6.907168455,7.665454545,,7.853807818,7.486363636
7.130369727,7.611818182,,10.11212327,7.546363636
6.755280182,7.57,,7.281933545,7.522727273
6.634853727,7.602727273,,8.772821818,7.53
8.959503909,7.331818182,,9.451564636,7.526363636
9.541594364,7.427272727,,8.734187818,7.642727273
9.064096182,7.511818182,,8.379071,7.382727273
8.963962455,7.615454545,,8.92122,7.519090909
8.891043091,7.504545455,,7.452117364,7.325454545
10.648229,7.412727273,,7.976895455,7.581818182
10.02931764,7.576363636,,7.252919,7.766363636
10.65260245,7.324545455,,7.923309455,7.405454545
10.31502427,7.48,,6.286675273,7.411818182
10.35704691,7.584545455,,7.073923727,7.508181818
10.02089682,7.371818182,,7.516039455,7.39
10.64530045,7.519090909,,6.559652727,7.741818182
10.68447764,7.32,,7.503063455,7.440909091
9.761715,7.524545455,,7.894377182,7.425454545
9.89026,7.553636364,,7.971568273,7.409090909
9.707753455,7.396363636,,6.928256545,7.633636364
10.02308318,7.648181818,,10.036267,7.620909091
9.238624545,7.38,,10.034038,7.554545455
8.734187818,7.642727273,,9.319024,7.495454545
8.379071,7.382727273,,9.683323182,7.526363636
9.694103455,7.321818182,,9.434083182,7.625454545
8.659098,7.452727273,,9.991062273,7.574545455
8.92122,7.519090909,,9.091056364,7.559090909
9.262743545,7.582727273,,9.860953909,7.366363636
9.099574091,7.485454545,,9.613203273,7.659090909
10.06653464,7.48,,9.694984727,7.280909091
9.941337364,7.597272727,,9.610716,7.640909091
9.635514727,7.413636364,,9.229870909,7.661818182
9.410229636,7.65,,9.437602455,7.571818182
9.707631,7.523636364,,6.182452909,7.677272727
8.411665636,7.580909091,,7.492184364,7.74
10.13621809,7.617272727,,7.152277545,7.601818182
8.940029182,7.510909091,,7.478735,7.666363636
9.215533182,7.642727273,,7.067116545,7.364545455
10.63621,7.424545455,,8.903825364,7.453636364
9.944958091,7.447272727,,9.892219545,7.414545455
10.90778482,7.466363636,,9.451536909,7.558181818
10.00497591,7.575454545,,10.31234255,7.526363636
10.46195873,7.658181818,,9.897262,7.318181818
10.84913536,7.550909091,,9.622555909,7.358181818
9.469802273,7.572727273,,9.749595364,7.499090909
9.518789091,7.399090909,,9.87524,7.508181818
11.27747645,7.436363636,,9.592397545,7.542727273
9.497796182,7.372727273,,9.230980273,7.481818182
9.958418273,7.512727273,,9.129268091,7.270909091
9.852015,7.600909091,,8.509300818,7.461818182
9.266431636,7.533636364,,9.313315273,7.698181818
9.840353727,7.437272727,,8.287231545,7.493636364
9.717011,7.367272727,,8.880310818,7.571818182
10.078536,7.550909091,,8.321825091,7.421818182
9.225057818,7.42,,7.850335091,7.683636364
9.694984727,7.280909091,,9.911203364,7.353636364
9.610716,7.640909091,,9.821151818,7.528181818
9.379789636,7.59,,9.966443818,7.419090909
9.509791818,7.461818182,,9.554961909,7.565454545
9.301652455,7.366363636,,9.055378182,7.618181818
9.437602455,7.571818182,,9.394589182,7.550909091
9.178203455,7.568181818,,9.307354545,7.488181818
10.14776555,7.301818182,,8.314116364,7.533636364
9.561637182,7.503636364,,8.946628727,7.412727273
9.592397545,7.542727273,,9.358047545,7.395454545
10.547907,7.418181818,,8.907431091,7.636363636
9.598455818,7.564545455,,8.477947818,7.456363636
9.453497909,7.433636364,,8.644496636,7.35
9.230980273,7.481818182,,8.710914,7.397272727
8.203589818,7.465454545,,9.444571545,7.220909091
7.928063,7.586363636,,8.360518636,7.288181818
8.237196545,7.531818182,,8.317803364,7.283636364
9.872915636,7.746363636,,9.262294,7.249090909
10.69394764,7.296363636,,8.662194727,7.414545455
9.832990091,7.641818182,,8.859888273,7.337272727
10.59220209,7.605454545,,8.941349818,7.450909091
10.57677909,7.498181818,,8.641836,7.493636364
9.602859,7.36,,9.172581545,7.191818182
9.559789273,7.637272727,,9.022131909,7.155454545
10.13687,7.466363636,,8.903054091,7.282727273
10.56733864,7.452727273,,7.704747364,7.364545455
11.04001782,7.517272727,,7.673473182,7.270909091
10.11786636,7.424545455,,8.277694727,7.353636364
9.883560364,7.578181818,,9.298196727,7.374545455
9.079098636,7.569090909,,9.374584273,7.349090909
10.06647409,7.620909091,,7.962933364,7.293636364
9.055378182,7.618181818,,7.474738455,7.268181818
9.050443091,7.651818182,,7.644734,7.350909091
8.939495182,7.683636364,,7.859505273,7.238181818
10.20821355,7.449090909,,7.804151909,7.260909091
9.155936364,7.558181818,,10.66296018,7.34
9.332791091,7.597272727,,10.216265,7.365454545
9.501539636,7.376363636,,10.03580255,7.225454545
8.314116364,7.533636364,,11.30026745,7.257272727
8.907431091,7.636363636,,9.830088909,7.480909091
10.583577,7.560909091,,10.66531409,7.4
10.427827,7.409090909,,10.00129964,7.154545455
10.008316,7.631818182,,7.769214364,7.346363636
10.38584645,7.427272727,,7.596819727,7.398181818
9.437462091,7.637272727,,8.173104727,7.361818182
9.716257455,7.576363636,,8.827123727,7.365454545
7.203133909,7.578181818,,9.217286,7.367272727
12.13048136,7.412727273,,7.202089,7.314545455
11.56947664,7.422727273,,,
11.37168955,7.372727273,,,
12.32828927,7.463636364,,,
10.56726127,7.441818182,,,
12.892422,7.172727273,,,
10.86795045,7.375454545,,,
12.30364773,7.423636364,,,
11.57074218,7.332727273,,,
12.01318518,7.239090909,,,
13.10817045,7.139090909,,,
12.88065082,7.315454545,,,
12.31255955,7.224545455,,,
11.153586,7.499090909,,,
11.18733891,7.37,,,
11.34512291,7.435454545,,,
11.84496791,7.485454545,,,
13.25020509,7.141818182,,,
13.318524,7.333636364,,,
11.11961055,7.392727273,,,
12.67887482,7.186363636,,,
12.05237218,7.289090909,,,
11.71989627,7.423636364,,,
12.910724,7.465454545,,,
12.07008155,7.419090909,,,
11.40310891,7.446363636,,,
12.68131309,7.267272727,,,
11.01824027,7.414545455,,,
13.28017373,7.411818182,,,
12.37815082,7.383636364,,,
12.17400891,7.366363636,,,
13.53451655,7.326363636,,,
